date,Momentum,Value,Combined,Benchmark
2025-01-31,0.052445802992717255,0.04836968778996669,0.06703387560812792,0.03424614872648042
2025-02-28,0.009149548931057062,0.01465614312271606,-0.020921268500940518,0.010078362915710593
2025-03-31,-0.05993090504404745,-0.026252604969274618,-0.032188061074414256,-0.024353424966193343
2025-04-30,0.001166676443303481,-0.05826711232623355,0.003771888440658056,-0.030497360202890133
2025-05-31,0.04738238079475579,0.08865895452979589,0.04350124434787244,0.03501596941646294
2025-06-30,0.0238018707129632,0.05699372873815923,0.04887929497827253,0.024721361037086526
2025-07-31,0.008281254137064264,-0.0307122363869071,0.02818886088990069,-8.203079808906634e-05
2025-08-31,-0.006851866594111856,0.06161165686037487,-0.006851866594111856,0.0429603737550208
2025-09-30,0.020375509200871878,0.033868499653232846,0.0356013952178845,0.035920040092502284
2025-10-31,0.050531532024219145,0.01128980318376718,0.0045908879431841194,0.01315818475478121
2025-11-30,0.00838797045903765,-0.002165324952820359,0.00838797045903765,0.0018489958556148864
2025-12-31,0.0006419625731050264,0.02036503160010763,0.0006419625731050264,0.009999867709449136
2026-01-31,0.03743492309701105,0.016838749075033667,0.09449025893852991,0.05102929933154079
2026-02-28,0.07282076934651448,0.020727172289628858,0.08010742607917601,0.04157556562422473
2026-03-31,-0.04274731549336366,-0.015734443734277122,-0.0014536038491541649,-0.046689489320011615
2026-04-30,0.0150668214605944,0.0958756598003486,0.0150668214605944,0.04965545667533944
2026-05-31,-0.008474774940800869,-0.03996979290296592,-0.0337641912578972,-0.006833734942399968
2026-06-30,0.045502345097381755,0.020501191217321683,0.07987354081040454,0.02804672023030677
2026-07-31,-0.03382773798374364,0.040644502622128466,-0.019955873947922514,0.03254485339198249
2026-08-31,-0.005770906695603916,0.013280725540397054,-0.005770906695603916,0.0088303978961314
